Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 4,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 5,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 5,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 4,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 5,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 150,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 30,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 10,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 237,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 234,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 222,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 40,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 3,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 28,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 73,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 102,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 60,47
ChitChat,ui,createaccountWindow,framekeycreatewindow,Magic Number,The method contains a magic number: 20,47
ChitChat,ui,createaccountWindow,actionPerformed,Complex Conditional,The conditional expression usernameField.getText().equalsIgnoreCase("") || nickField.getText().equalsIgnoreCase("") || passwordField.getText().equalsIgnoreCase("")|| emailfield.getText().equalsIgnoreCase("") is complex.,234
ChitChat,ui,createaccountWindow,actionPerformed,Long Statement,The length of the statement "if (usernameField.getText().equalsIgnoreCase("") || nickField.getText().equalsIgnoreCase("") || passwordField.getText().equalsIgnoreCase("")|| emailfield.getText().equalsIgnoreCase("")) {" is 187.,234
ChitChat,ui,createaccountWindow,actionPerformed,Long Statement,The length of the statement "userstructure newUser=aaccounts.createAccount(String.valueOf(passwordField.getPassword())`usernameField.getText()`nickField.getText()`emailfield.getText());" is 156.,234
ChitChat,ui,createaccountWindow,email_validation,Long Statement,The length of the statement "if (Pattern.matches("^[a-zA-Z0-9_!#$%&'*+/=?`{|}~^-]+(?:\\.[a-zA-Z0-9_!#$%&'*+/=?`{|}~^-]+)*@[a-zA-Z0-9-]+(?:\\.[a-zA-Z0-9-]+)*$"`text)) {" is 138.,275
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 100,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 100,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 600,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 600,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 50,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 50,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 500,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 500,31
ChitChat,ui,FileShow,display,Magic Number,The method contains a magic number: 3,31
ChitChat,ui,FileShow,createMenuBar,Complex Conditional,The conditional expression list.endsWith(".txt") || list.endsWith(".TXT") || list.endsWith(".docx")|| list.endsWith(".doc")|| list.endsWith(".pptx") is complex.,44
ChitChat,ui,FileShow,createMenuBar,Long Statement,The length of the statement "if (list.endsWith(".txt") || list.endsWith(".TXT") || list.endsWith(".docx")|| list.endsWith(".doc")|| list.endsWith(".pptx")) {" is 128.,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 250,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 100,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 2,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 250,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 100,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 2,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 250,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 70,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 250,44
ChitChat,ui,FileShow,createMenuBar,Magic Number,The method contains a magic number: 70,44
ChitChat,ui,loginwindow,loginwindow,Magic Number,The method contains a magic number: 500,35
ChitChat,ui,loginwindow,loginwindow,Magic Number,The method contains a magic number: 80,35
ChitChat,ui,loginwindow,loginwindow,Magic Number,The method contains a magic number: 1250,35
ChitChat,ui,loginwindow,loginwindow,Magic Number,The method contains a magic number: 850,35
ChitChat,ui,loginwindow,loginwindow,Magic Number,The method contains a magic number: 500,35
ChitChat,ui,loginwindow,loginwindow,Magic Number,The method contains a magic number: 500,35
ChitChat,ui,loginwindow,framekeyloginwindow,Long Method,The method has 152 lines of code.,50
ChitChat,ui,loginwindow,framekeyloginwindow,Long Statement,The length of the statement "usernameField.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 122.,50
ChitChat,ui,loginwindow,framekeyloginwindow,Long Statement,The length of the statement "passwordField.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 122.,50
ChitChat,ui,loginwindow,framekeyloginwindow,Long Statement,The length of the statement "submitButton.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 121.,50
ChitChat,ui,loginwindow,framekeyloginwindow,Long Statement,The length of the statement "createButton.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 121.,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 15,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 1000,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 1000,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 28,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 73,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 102,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 140,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 40,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 40,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 15,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 05,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 10,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 15,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 2,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 40,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 250,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 40,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 60,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 250,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 5,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 4,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 5,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 250,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 50,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 237,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 234,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 222,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 350,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 350,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 40,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 3,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 28,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 73,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 102,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 60,50
ChitChat,ui,loginwindow,framekeyloginwindow,Magic Number,The method contains a magic number: 20,50
ChitChat,ui,ObjectFileCreate,createfile,Empty catch clause,The method has an empty catch block.,33
ChitChat,ui,personalchatroomui,personalchatroomui,Magic Number,The method contains a magic number: 20,71
ChitChat,ui,personalchatroomui,personalchatroomui,Magic Number,The method contains a magic number: 1035,71
ChitChat,ui,personalchatroomui,personalchatroomui,Magic Number,The method contains a magic number: 1050,71
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Complex Conditional,The conditional expression msg.contains("&&&&&&&&") is complex.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Complex Conditional,The conditional expression !msg.contains("%c@") && !msg.contains("`_(:);)(") && !msg.contains("&&&&&&&&")&& !msg.endsWith("^^^^^^^^")&& !msg.endsWith("~%~~") is complex.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Complex Method,Cyclomatic complexity of the method is 37,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Method,The method has 397 lines of code.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "logout_button.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder1()`new EmptyBorder(new Insets(10`10`10`10))));" is 123.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "shareditemmenu_button.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder1()`new EmptyBorder(new Insets(10`10`10`10))));" is 131.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "gamingzonebutton.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder1()`new EmptyBorder(new Insets(10`10`10`10))));" is 126.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "dictionary_Button.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder1()`new EmptyBorder(new Insets(10`10`10`10))));" is 127.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "picturebutton.setBorder(BorderFactory.createCompoundBorder(new CustomeBorder()`new EmptyBorder(new Insets(10`10`10`10))));" is 122.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "history_chats.WriteHistory("Chat of" + personwhosent_name + name+ ".txt"`"(" + personwhosent_name + ")------->"+ actualmsg);" is 124.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "if (!msg.contains("%c@") && !msg.contains("`_(:);)(") && !msg.contains("&&&&&&&&")&& !msg.endsWith("^^^^^^^^")&& !msg.endsWith("~%~~")) {" is 137.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Long Statement,The length of the statement "JOptionPane.showMessageDialog(null`"Sorry! some combinations of signs in this msg are not allowed to be paased for functional reason");" is 135.,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 30,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 28,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 73,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 102,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 30,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 28,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 73,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 102,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,Magic Number,The method contains a magic number: 10,138
